ticker,name,div_per_share
1332.T,ニッスイ,34.8
1605.T,INPEX,116.7
1721.T,コムシスHLDG,132.3
1801.T,大成建設,302.3
1802.T,大林組,95.5
1803.T,清水建設,80.8
1808.T,長谷工コーポレーション,102.7
1812.T,鹿島建設,154.8
1925.T,大和ハウス工業,190.3
1928.T,積水ハウス,147.1
1963.T,日揮HLDG,48.6
2002.T,日清製粉グループ本社,69.3
2269.T,明治HLDG,113.2
2282.T,日本ハム,171.1
2413.T,エムスリー,24.9
2432.T,ディー・エヌ・エー,39.7
2501.T,サッポロHLDG,28.9
2502.T,アサヒグループHLDG,50.7
2503.T,キリンHLDG,78.9
2768.T,双日,183.2
2801.T,キッコーマン,26.2
2802.T,味の素,49.3
285A.T,キオクシアHLDG,0.0
2871.T,ニチレイ,47.9
2914.T,日本たばこ産業,251.5
3086.T,J.フロントリテイリング,57.3
3092.T,ZOZO,39.1
3099.T,三越伊勢丹HLDG,74.7
3289.T,東急不動産HLDG,48.3
3382.T,セブン&アイHLDG,58.0
3401.T,帝人,50.0
3402.T,東レ,24.2
3405.T,クラレ,62.6
3407.T,旭化成,44.2
3436.T,SUMCO,20.0
3659.T,ネクソン,58.6
3697.T,SHIFT,0.0
3861.T,王子HLDG,36.7
4004.T,レゾナック・HLDG,70.2
4005.T,住友化学,16.8
4021.T,日産化学,202.1
4042.T,東ソー,105.6
4043.T,トクヤマ,132.4
4061.T,デンカ,104.8
4062.T,イビデン,30.8
4063.T,信越化学工業,118.2
4151.T,協和キリン,68.5
4183.T,三井化学,78.5
4188.T,三菱ケミカルグループ,32.4
4208.T,UBE,114.3
4307.T,野村総合研究所,86.4
4324.T,電通グループ,0.0
4385.T,メルカリ,0.0
4452.T,花王,155.9
4502.T,武田薬品工業,203.8
4503.T,アステラス製薬,82.8
4506.T,住友ファーマ,0.0
4507.T,塩野義製薬,74.9
4519.T,中外製薬,136.7
4523.T,エーザイ,161.7
4543.T,テルモ,34.2
4568.T,第一三共,90.9
4578.T,大塚HLDG,144.5
4661.T,オリエンタルランド,16.5
4689.T,LINEヤフー,8.2
4704.T,トレンドマイクロ,205.9
4751.T,サイバーエージェント,20.3
4755.T,楽天グループ,0.0
4901.T,富士フイルムHLDG,75.4
4902.T,コニカミノルタ,14.2
4911.T,資生堂,60.6
5019.T,出光興産,41.7
5020.T,ENEOSHLDG,37.3
5101.T,横浜ゴム,207.7
5108.T,ブリヂストン,132.5
5201.T,AGC,211.1
5214.T,日本電気硝子,159.4
5233.T,太平洋セメント,104.3
5301.T,東海カーボン,30.4
5332.T,TOTO,115.9
5333.T,NGK,91.4
5401.T,日本製鉄,25.1
5406.T,神戸製鋼所,74.2
5411.T,JFEHLDG,80.0
543A.T,ARCHION,0.0
5631.T,日本製鋼所,107.0
5706.T,三井金属,272.9
5711.T,三菱マテリアル,125.4
5713.T,住友金属鉱山,242.4
5714.T,DOWAHLDG,317.9
5801.T,古河電気工業,262.9
5802.T,住友電気工業,163.1
5803.T,フジクラ,49.0
5831.T,しずおかFG,96.2
6098.T,リクルートHLDG,29.4
6103.T,オークマ,108.5
6113.T,アマダ,68.3
6146.T,ディスコ,625.7
6178.T,日本郵政,54.4
6273.T,SMC,1120.0
6301.T,小松製作所,195.2
6302.T,住友重機械工業,139.9
6305.T,日立建機,187.3
6326.T,クボタ,52.6
6361.T,荏原製作所,70.3
6367.T,ダイキン工業,365.8
6471.T,日本精工,36.0
6472.T,NTN,12.0
6473.T,ジェイテクト,62.4
6479.T,ミネベアミツミ,55.5
6501.T,日立製作所,57.5
6503.T,三菱電機,69.9
6504.T,富士電機,211.6
6506.T,安川電機,74.0
6526.T,ソシオネクスト,52.6
6532.T,ベイカレント,126.9
6645.T,オムロン,111.8
6701.T,日本電気,42.7
6702.T,富士通,47.3
6723.T,ルネサスエレクトロニクス,35.6
6724.T,セイコーエプソン,76.9
6752.T,パナソニックHLDG,56.1
6753.T,シャープ,0.0
6758.T,ソニーグループ,30.0
6762.T,TDK,37.7
6770.T,アルプスアルパイン,64.0
6841.T,横河電機,80.7
6857.T,アドバンテスト,99.3
6861.T,キーエンス,595.3
6902.T,デンソー,71.7
6920.T,レーザーテック,320.3
6954.T,ファナック,125.1
6963.T,ローム,51.0
6971.T,京セラ,53.6
6976.T,太陽誘電,91.0
6981.T,村田製作所,66.3
6988.T,日東電工,66.4
7004.T,カナデビア,30.1
7011.T,三菱重工業,31.0
7012.T,川崎重工業,35.9
7013.T,IHI,27.1
7186.T,横浜FG,44.7
7201.T,日産自動車,0.0
7202.T,いすゞ自動車,102.8
7203.T,トヨタ自動車,106.0
7211.T,三菱自動車工業,11.0
7261.T,マツダ,54.6
7267.T,本田技研工業,70.6
7269.T,スズキ,53.5
7270.T,SUBARU,123.3
